,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,ALL,dataset_id
702,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.033333333,0.016666667,0.000246914,0.000246914,0.25,0.25,0.25,0.18,1,0,0.82,0.6,0.82,0.82,0.12489996,0,0.0156,0,1,0,0.75,0,0,0.821,0.126881835,0.016099,0,20,0.179,0.126881835,0.016099,0,1,1,0,2
703,0.00617284,0.185952959,1,1,3,1,6,6,0.500402424,0.500402424,20,36,3,0.133333333,0.022222222,0.062222222,0.008822222,0,0,0,0.2,0.8,0,0.55,0.2,0.6,0.6125,0.20976177,0,0.044,0,0,1,0.2,0,0,0.597,0.187699227,0.035231,3,20,0.403,0.187699227,0.035231,0,0,0,0,2
704,0.00617284,0.056633012,1,0,0,1,2,2,0.673011667,0.673011667,20,4,1,0.1,0.023333333,0.030617284,0.003120988,0,0,0,0.24,0.8,1,0.575,0.2,0.56,0.55,0.174355958,0,0.0304,1,0,0,0.1,0,0,0.547,0.174416169,0.030421,4,20,0.453,0.174416169,0.030421,0,0,0,0,2
705,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.133333333,0.01,0.003209877,0.003209877,0.15,0.15,0.15,0.25,1,0,0.75,0.4,0.75,0.75,0.16583124,0,0.0275,0,1,0,0.35,0,0,0.7455,0.142354311,0.02026475,1,20,0.2545,0.142354311,0.02026475,0,1,1,0,2
706,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.1,0.008888889,0.001728395,0.001728395,0.25,0.25,0.25,0.2,1,0,0.8,0.6,0.8,0.8,0.141421356,0,0.02,0,1,0,0.5,0,0,0.7905,0.10263893,0.01053475,0,20,0.2095,0.10263893,0.01053475,0,1,1,0,2
707,0.00154321,0.098238589,1,3,57,1,27,27,0.562335145,0.562335145,108,729,13.5,0.05,0.014907407,0.005296044,0.000321739,0.055555556,0.055555556,0.055555556,0.457407407,1,0,0.481481481,0.2,0.542592593,0.562962963,0.245025964,0,0.060037723,0,0,1,0.175925926,0,0,0.57212963,0.193453272,0.037424168,21,108,0.42787037,0.193453272,0.037424168,0,0,0,0,2
708,0.000685871,0.018713099,1,2,12,1,11,11,0.673011667,0.673011667,110,121,5.5,0.088888889,0.010123457,0.000912209,0.002145069,0.063636364,0.063636364,0.063636364,0.429090909,1,1,0.590909091,0.2,0.570909091,0.557575758,0.236391607,0,0.055880992,0,1,0,0.163636364,0,0,0.539727273,0.196109705,0.038459017,15,110,0.460272727,0.196109705,0.038459017,0,1,1,0,2
709,0.00146092,0.054707795,1,3,36,1,17.5,17.5,0.644381437,0.644381437,113,306.25,8.75,0.021621622,0.010168006,0.00135025,0.000159708,0.061946903,0.061946903,0.061946903,0.467256637,1,0,0.461538462,0.2,0.532743363,0.57027027,0.247623207,0,0.061317253,0,0,1,0.185840708,0,0,0.561504425,0.201381166,0.040554374,17,113,0.438495575,0.201381166,0.040554374,0,0,0,0,2
710,0.003446712,0.049826522,1,5,30,1,9.5,9.5,0.676684761,0.676684761,105,90.25,4.75,0.04,0.012277551,0.001441418,8.74E-05,0.028571429,0.028571429,0.028571429,0.525714286,1,1,0.48372093,0.2,0.474285714,0.467741935,0.242616127,0,0.058862585,1,0,0,0.123809524,0,0,0.514952381,0.180755683,0.032672617,18,105,0.485047619,0.180755683,0.032672617,0,0,0,0,2
711,0.010226443,0.167779435,1,9,108,1,16.5,16.5,0.648279167,0.648279167,111,272.25,8.25,0.059459459,0.020277575,0.004268481,0.002450628,0.054054054,0.054054054,0.054054054,0.45045045,1,0,0.523076923,0.2,0.54954955,0.563888889,0.239321064,0,0.057274572,0,0,1,0.162162162,0,0,0.537567568,0.20220949,0.040888678,20,111,0.462432432,0.20220949,0.040888678,0,0,0,0,2
712,0.003231764,0.210916711,1,5,125,1,37,37,0.472958502,0.472958502,116,1369,18.5,0.026315789,0.020969529,0.024266667,0.00185471,0.672413793,0.672413793,0.672413793,0.498275862,1.4,0,0.666666667,0.2,0.901724138,0.953684211,0.382816864,0,0.146548751,0,0,1,0.24137931,0,0,0.624396552,0.183764696,0.033769463,9,116,0.375603448,0.183764696,0.033769463,0,0,0,0,2
713,0.002499039,0.08728247,1,4,48,1,18.5,18.5,0.627161838,0.627161838,103,342.25,9.25,0.070588235,0.028512111,0.001864492,0.000392624,0.582524272,0.582524272,0.582524272,0.566990291,1.4,0,0.745454545,0.2,0.833009709,0.874285714,0.398148226,0,0.15852201,0,0,1,0.262135922,1,0,0.593786408,0.208960053,0.043664304,12,103,0.406213592,0.208960053,0.043664304,0,0,0,0,2
714,0.002110218,0.061139668,1,4,132,1,48.5,48.5,0.235313764,0,111,2352.25,24.25,0.027027027,0.005668371,0.003950617,0.000244137,0.099099099,0.099099099,0.099099099,0.432432432,1,0,0.542857143,0.2,0.567567568,0.569230769,0.25118177,0,0.063092281,0,0,1,0.243243243,0,0,0.631081081,0.185804079,0.034523156,19,111,0.368918919,0.185804079,0.034523156,0,0,0,0,2
715,0.003809524,0.049826522,0,5,30,1,10,10,0.675240106,0.675240106,106,100,5,0.045714286,0.019069388,0.00047488,0.000987295,0.075471698,0.075471698,0.075471698,0.494339623,1,1,0.572093023,0.2,0.505660377,0.46031746,0.253589398,0,0.064307583,1,0,0,0.169811321,0,0,0.524339623,0.192740998,0.037149092,15,106,0.475660377,0.192740998,0.037149092,0,0,0,0,2
716,0,0,1,0,0,1,15,15,0.655481774,0.655481774,110,225,7.5,0.044444444,0.011481481,0.000324074,0.001306173,0.036363636,0.036363636,0.036363636,0.48,1,1,0.54,0.2,0.52,0.508571429,0.227556187,0,0.051781818,1,0,0,0.172727273,0,0,0.521363636,0.192332464,0.036991777,17,110,0.478636364,0.192332464,0.036991777,0,0,0,0,2
717,0.006979953,0.129198831,1,7,84,1,16,16,0.651756561,0.651756561,112,256,8,0.048648649,0.006486486,0.003864784,0.001945803,0.089285714,0.089285714,0.089285714,0.446428571,1,1,0.63,0.2,0.553571429,0.511111111,0.240508602,0,0.057844388,1,0,0,0.196428571,0,0,0.501071429,0.212549814,0.045177423,15,112,0.498928571,0.212549814,0.045177423,0,0,0,0,2
718,0,0,0,0,0,1,5,5,0.68885434,0.68885434,108,25,2.5,0.044444444,0.011358025,0.008115848,0.003478297,0.037037037,0.037037037,0.037037037,0.524074074,1,0,0.448979592,0.2,0.475925926,0.498305085,0.239934548,0,0.057568587,0,0,1,0.175925926,0,0,0.531111111,0.193545541,0.037459877,14,108,0.468888889,0.193545541,0.037459877,0,0,0,0,2
719,0.008888889,0.172609243,0,1,2,1,0,0,0.693147181,0.693147181,16,0,0,0.04,0.0416,0.006666667,0.000987654,0.0625,0.0625,0.0625,0.425,1,0,0.625,0.4,0.575,0.625,0.15612495,0,0.024375,1,0,0,0.1875,0,0,0.619375,0.154736419,0.023943359,3,16,0.380625,0.154736419,0.023943359,0,0,1,0,2
720,0.008888889,0,1,1,4,1,6,6,0.376770161,0,16,36,3,0.08,0.0448,0.0032,0.000866667,0.0625,0.0625,0.0625,0.325,1,0,0.6,0.2,0.675,0.685714286,0.185404962,0,0.034375,0,0,1,0.1875,0,0,0.659375,0.159940174,0.025580859,1,16,0.340625,0.159940174,0.025580859,0,0,0,0,2
721,0,0,1,0,0,1,8,-8,0,0,16,64,4,0.04,0.0064,0.000355556,0.000355556,0.1875,0.1875,0.1875,0.225,1,0,0.775,0.6,0.775,0.775,0.139194109,0,0.019375,0,1,0,0.4375,0,0,0.755625,0.099245198,0.009849609,0,16,0.244375,0.099245198,0.009849609,0,1,1,0,2
722,0.008888889,0.172609243,0,1,2,1,0,0,0.693147181,0.693147181,16,0,0,0.04,0.0672,0.015555556,0.000987654,0.0625,0.0625,0.0625,0.45,1,0,0.575,0.2,0.55,0.575,0.206155281,0,0.0425,0,0,0,0.25,0,0,0.549375,0.191750774,0.036768359,2,16,0.450625,0.191750774,0.036768359,0,1,0,0,2
723,0.008888889,0,1,1,4,1,7,7,0.233791659,0,16,49,3.5,0.12,0.016,0.006755556,0.002755556,0.3125,0.3125,0.3125,0.2625,1,0,0.6,0.4,0.7375,0.746666667,0.196452921,0,0.03859375,0,0,1,0.375,0,0,0.7325,0.136129534,0.01853125,1,15,0.2675,0.136129534,0.01853125,0,0,0,0,2
724,0,0,1,0,0,1,8,-8,0,0,16,64,4,0.12,0.016,0.002488889,0.002488889,0.625,0.625,0.625,0.0875,1,0,0.9125,0.6,0.9125,0.9125,0.121834929,0,0.01484375,0,1,0,0.8125,0,0,0.87875,0.094794185,0.008985938,0,16,0.12125,0.094794185,0.008985938,0,1,1,0,2
725,0.008888889,0.172609243,1,1,2,1,3,3,0.621086375,0.621086375,16,9,1.5,0.16,0.032,0.003466667,0.005096296,0.0625,0.0625,0.0625,0.4375,1,0,0.52,0.4,0.5625,0.581818182,0.145236875,0,0.02109375,0,0,1,0.125,0,0,0.5625,0.141487632,0.02001875,3,16,0.4375,0.141487632,0.02001875,0,0,0,0,2
726,0,0,1,0,0,1,8,-8,0,0,16,64,4,0.24,0.0032,0.009955556,0.009955556,0.25,0.25,0.25,0.1875,1,0,0.8125,0.6,0.8125,0.8125,0.131695672,0,0.01734375,0,1,0,0.5625,0,0,0.796875,0.115201929,0.013271484,0,16,0.203125,0.115201929,0.013271484,0,1,1,0,2
727,0.026666667,0.172609243,0,2,6,1,4,4,0.562335145,0.562335145,16,16,2,0.12,0.016,0.008888889,0.005617284,0,0,0,0.2375,0.8,0,0.5,0.4,0.5625,0.583333333,0.126861145,0,0.01609375,0,0,1,0.0625,0,0,0.565,0.126984251,0.016125,2,16,0.435,0.126984251,0.016125,0,0,0,0,2
728,0.008888889,0.172609243,1,1,2,1,4,4,0.562335145,0.562335145,16,16,2,0.08,0.0096,0.004355556,0.000750617,0,0,0,0.1875,0.8,0,0.5,0.4,0.6125,0.65,0.11110243,0,0.01234375,0,0,1,0.1875,0,0,0.65375,0.146708682,0.021523438,1,16,0.34625,0.146708682,0.021523437,0,0,0,0,2
729,0,0,1,0,0,1,8,-8,0,0,16,64,4,0.08,0.0128,0.001066667,0.001066667,0.25,0.25,0.25,0.1625,1,0,0.8375,0.6,0.8375,0.8375,0.105326872,0,0.01109375,0,1,0,0.625,0,0,0.814375,0.099245198,0.009849609,0,16,0.185625,0.099245198,0.009849609,0,1,1,0,2
730,0,0,1,0,0,1,8,-8,0,0,16,64,4,0.2,0.032,0.007466667,0.007466667,0,0,0,0.2125,0.8,0,0.5875,0.2,0.5875,0.5875,0.19324531,0,0.03734375,0,1,0,0,0,0,0.635,0.085146932,0.00725,3,16,0.365,0.085146932,0.00725,0,1,1,0,2
731,0.0054058,0.115637671,1,7,84,1,17,17,0.651041762,0.651041762,118,289,8.5,0.076923077,0.029506903,0.000211339,0.001468086,0.016949153,0.016949153,0.016949153,0.505084746,1,0,0.471428571,0.2,0.494915254,0.507894737,0.214257669,0,0.045906349,0,0,1,0.127118644,0,0,0.532288136,0.182818846,0.033422731,25,118,0.467711864,0.182818846,0.033422731,0,0,0,0,2
732,0.000486973,0.008793473,0,2,6,1,3.5,3.5,0.691227242,0.691227242,113,12.25,1.75,0.07027027,0.008648649,0.000942661,0.000841912,0.026548673,0.026548673,0.026548673,0.502654867,1,1,0.535849057,0.2,0.497345133,0.463333333,0.238156703,0,0.056718615,0,1,0,0.123893805,0,0,0.504424779,0.19547056,0.03820874,24,113,0.495575221,0.19547056,0.03820874,0,1,0,0,2
733,0.004305556,0.077274512,1,6,60,1,13,13,0.669487772,0.669487772,120,169,6.5,0.04,0.0212,0.00363459,0.000543312,0.041666667,0.041666667,0.041666667,0.465,1,1,0.557446809,0.2,0.535,0.520547945,0.246525861,0,0.060775,0,1,0,0.175,0,0,0.526416667,0.214751002,0.046117993,19,120,0.473583333,0.214751002,0.046117993,0,1,1,0,2
734,0.009204471,0.177476278,1,9,126,1,19.5,19.5,0.638438127,0.638438127,119,380.25,9.75,0.051282051,0.016936226,0.000519112,0.000473744,0.084033613,0.084033613,0.084033613,0.394957983,1,1,0.625,0.2,0.605042017,0.594936709,0.235450128,0,0.055436763,0,1,0,0.243697479,0,0,0.554453782,0.215003215,0.046226382,17,119,0.445546218,0.215003215,0.046226382,0,1,1,0,2
735,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.133333333,0.017777778,0.006666667,0.002755556,0,0,0,0.14,0.8,1,0.8,0.4,0.66,0.652631579,0.156204994,0,0.0244,1,0,0,0.4,0,0,0.688,0.176312223,0.031086,1,19,0.312,0.176312223,0.031086,0,0,0,0,2
736,0.024691358,0,0,2,8,1,4,4,0.610864302,0.610864302,20,16,2,0.1,0.044444444,0.008888889,0.001666667,0,0,0,0.22,0.8,0,0.566666667,0.2,0.58,0.585714286,0.177763888,0,0.0316,0,0,1,0.1,0,0,0.5545,0.147427101,0.02173475,2,20,0.4455,0.147427101,0.02173475,0,0,0,0,2
737,0.018518519,0.242585972,1,1,3,1,3,3,0.647446639,0.647446639,20,9,1.5,0.066666667,0.004444444,0.000987654,0.003595062,0,0,0,0.2,0.8,0,0.571428571,0.4,0.6,0.615384615,0.126491106,0,0.016,0,0,1,0.15,0,0,0.589,0.158741929,0.025199,2,20,0.411,0.158741929,0.025199,0,0,0,0,2
738,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.033333333,0.013333333,0.029876543,0.000246914,0.35,0.35,0.35,0.22,1,0,0.4,0.4,0.78,0.8,0.198997487,0,0.0396,0,0,1,0.65,0,0,0.7215,0.238940892,0.05709275,1,19,0.2785,0.238940892,0.05709275,0,0,0,0,2
739,0.024691358,0.242585972,0,0,0,1,5,5,0.562335145,0.562335145,20,25,2.5,0.166666667,0.09,0.051358025,0.004306173,0.15,0.15,0.15,0.32,1,0,0.56,0.2,0.68,0.72,0.213541565,0,0.0456,0,0,1,0.3,0,0,0.6825,0.146419773,0.02143875,2,20,0.3175,0.146419773,0.02143875,0,0,0,0,2
740,0.00617284,0.056633012,1,0,0,1,2,2,0.673011667,0.673011667,20,4,1,0.166666667,0.026666667,0.003209877,0.006269136,0,0,0,0.26,0.8,0,0.475,0.2,0.54,0.583333333,0.156204994,0,0.0244,0,0,1,0.15,0,0,0.5065,0.150840147,0.02275275,4,20,0.4935,0.150840147,0.02275275,0,0,0,0,2
741,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.133333333,0.032222222,0.00691358,0.003950617,0.15,0.15,0.15,0.26,1,0,0.6,0.4,0.74,0.747368421,0.168522995,0,0.0284,0,0,1,0.55,0,0,0.7855,0.126470352,0.01599475,1,19,0.2145,0.126470352,0.01599475,0,0,0,0,2
