,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
290,0.001077255,0.056430233,1,3,39,1,21,21,0.626087233,0.626087233,116,441,10.5,0.084210526,0.016703601,0.013187543,0.004951893,0.120689655,0.120689655,0.120689655,0.413793103,1,0,0.508108108,0.2,0.586206897,0.62278481,0.262250391,0,0.068775268,1,1,0,0.284482759,0,0,0.599396552,0.23283222,0.054210843,21,116,0.400603448,0.23283222,0.054210843,0,1,1,2
291,0.001022719,0.067245599,1,3,48,1,24.5,24.5,0.602686514,0.602686514,117,600.25,12.25,0.076923077,0.014990138,0.001985185,0.00089727,0.094017094,0.094017094,0.094017094,0.461538462,1,0,0.523529412,0.2,0.538461538,0.544578313,0.255485512,0,0.065272847,1,1,0,0.222222222,0,0,0.53974359,0.213915318,0.045759763,16,117,0.46025641,0.213915318,0.045759763,0,1,1,2
292,0.00617284,0.185952959,1,1,3,1,4,4,0.590842246,0.590842246,18,16,2,0.066666667,0.026666667,0.027654321,0.006795062,0.055555556,0.055555556,0.055555556,0.377777778,1,0,0.56,0.2,0.622222222,0.646153846,0.174977953,0,0.030617284,1,1,0,0.111111111,0,0,0.602222222,0.146990383,0.021606173,2,18,0.397777778,0.146990383,0.021606173,0,1,1,2
293,0.018518519,0.242585972,1,1,3,1,3,3,0.636514168,0.636514168,18,9,1.5,0.133333333,0.023333333,0.001728395,0.004691358,0,0,0,0.222222222,0.8,0,0.5,0.2,0.577777778,0.616666667,0.16178022,0,0.02617284,1,1,0,0.222222222,0,0,0.636111111,0.168560536,0.028412654,3,18,0.363888889,0.168560536,0.028412654,0,1,1,2
294,0.00617284,0,1,1,5,1,8,8,0.214559155,0,18,64,4,0.133333333,0.004444444,0.018024691,0.001728395,0.444444444,0.444444444,0.444444444,0.155555556,1,0,0.6,0.6,0.844444444,0.858823529,0.15713484,0,0.024691358,1,1,0,0.611111111,0,0,0.793333333,0.15895492,0.025266667,0,17,0.206666667,0.15895492,0.025266667,1,1,1,2
295,0.00617284,0,1,1,5,1,8,8,0.214559155,0,18,64,4,0.166666667,0.016666667,0.018765432,0.003950617,0.055555556,0.055555556,0.055555556,0.366666667,1,0,0.4,0.4,0.633333333,0.647058824,0.152752523,0,0.023333333,1,1,0,0.111111111,0,0,0.624444444,0.127245267,0.016191358,0,17,0.375555556,0.127245267,0.016191358,0,1,1,2
296,0.00617284,0,1,1,5,1,8,8,0.214559155,0,18,64,4,0.1,0.036666667,0.042469136,0.000750617,0.333333333,0.333333333,0.333333333,0.188888889,1,0,0.4,0.4,0.811111111,0.835294118,0.16960375,0,0.028765432,1,1,0,0.5,0,0,0.776111111,0.138809978,0.01926821,0,17,0.223888889,0.138809978,0.01926821,0,1,1,2
297,0.00617284,0,1,1,5,1,8,8,0.214559155,0,18,64,4,0.033333333,0.013333333,0.014074074,0.000385185,0.111111111,0.111111111,0.111111111,0.355555556,1,0,0.4,0.4,0.644444444,0.658823529,0.15713484,0,0.024691358,1,1,0,0.166666667,0,0,0.646666667,0.128062485,0.0164,0,17,0.353333333,0.128062485,0.0164,0,1,1,2
298,0.00617284,0,1,1,5,1,7,7,0.348832096,0,18,49,3.5,0.066666667,0.018888889,0.008888889,0.001422222,0.111111111,0.111111111,0.111111111,0.366666667,1,0,0.5,0.4,0.633333333,0.65,0.191485422,0,0.036666667,1,1,0,0.055555556,0,0,0.604444444,0.169024069,0.028569136,2,18,0.395555556,0.169024069,0.028569136,0,1,1,2
299,0.00617284,0,1,1,5,1,8,8,0.214559155,0,18,64,4,0.066666667,0.013333333,0.00962963,0.000740741,0.277777778,0.277777778,0.277777778,0.211111111,1,0,0.6,0.6,0.788888889,0.8,0.155951876,0,0.024320988,1,1,0,0.222222222,0,0,0.709444444,0.11496242,0.013216358,0,17,0.290555556,0.11496242,0.013216358,0,1,1,2
300,0.043209877,0.242585972,1,1,5,1,5,5,0.529706199,0.529706199,18,25,2.5,0.133333333,0.04,0.002222222,0.002755556,0.111111111,0.111111111,0.111111111,0.311111111,1,0,0.55,0.4,0.688888889,0.728571429,0.166295884,0,0.027654321,1,1,0,0.333333333,0,0,0.669444444,0.142613394,0.02033858,1,18,0.330555556,0.142613394,0.02033858,0,1,1,2
301,0,0,1,0,0,1,6,6,0.450561209,0.450561209,18,36,3,0.166666667,0.036666667,0.060987654,0.00297284,0.388888889,0.388888889,0.388888889,0.177777778,1,0,0.8,0.4,0.822222222,0.826666667,0.174977953,0,0.030617284,1,1,0,0.555555556,0,0,0.693888889,0.248308475,0.061657099,0,18,0.306111111,0.248308475,0.061657099,0,1,1,2
302,0.018518519,0.185952959,1,2,8,1,6,6,0.450561209,0.450561209,18,36,3,0.2,0.017777778,0.041728395,0.001380247,0.166666667,0.166666667,0.166666667,0.277777778,1,0,0.4,0.4,0.722222222,0.786666667,0.190191586,0,0.03617284,1,1,0,0.333333333,0,0,0.708888889,0.136295793,0.018576543,1,18,0.291111111,0.136295793,0.018576543,0,1,1,2
303,0.043209877,0.056633012,1,2,8,1,4,4,0.590842246,0.590842246,18,16,2,0.133333333,0.026666667,0.030617284,0.001106173,0.166666667,0.166666667,0.166666667,0.288888889,1,0,0.68,0.4,0.711111111,0.723076923,0.179161283,0,0.032098765,1,1,0,0.277777778,0,0,0.602222222,0.240406035,0.057795062,1,18,0.397777778,0.240406035,0.057795062,0,1,1,2
304,0.018518519,0.242585972,1,1,3,1,3,3,0.636514168,0.636514168,18,9,1.5,0.066666667,0.022222222,0.012839506,0.000602469,0,0,0,0.166666667,0.8,0,0.6,0.4,0.633333333,0.65,0.166666667,0,0.027777778,1,1,0,0.166666667,0,0,0.508333333,0.175791859,0.030902778,3,18,0.491666667,0.175791859,0.030902778,0,1,1,2
305,0.00617284,0.056633012,1,0,0,1,2,2,0.668248478,0.668248478,18,4,1,0.166666667,0.012222222,8.22E-33,0.002222222,0.111111111,0.111111111,0.111111111,0.411111111,1,0,0.514285714,0.2,0.588888889,0.636363636,0.215738754,0,0.04654321,1,1,0,0.111111111,0,0,0.552777778,0.164546702,0.027075617,3,18,0.447222222,0.164546702,0.027075617,0,1,1,2
306,0.00617284,0,1,1,5,1,7,7,0.348832096,0,18,49,3.5,0.033333333,0.026666667,0.000246914,0.000432099,0.111111111,0.111111111,0.111111111,0.277777778,1,0,0.7,0.4,0.722222222,0.725,0.15112745,0,0.022839506,1,1,0,0.277777778,0,0,0.687777778,0.162738903,0.026483951,1,18,0.312222222,0.162738903,0.026483951,0,1,1,2
307,0,0,1,0,0,1,9,-9,0,0,18,81,4.5,0.233333333,0.001111111,0.010617284,0.010617284,0.388888889,0.388888889,0.388888889,0.155555556,1,0,0.844444444,0.6,0.844444444,0.844444444,0.14229165,0,0.020246914,1,1,0,0.555555556,0,0,0.791111111,0.138358989,0.01914321,0,18,0.208888889,0.138358989,0.01914321,0,1,1,2
308,0.008707483,0.329978452,1,8,168,1,31.5,31.5,0.508078453,0.508078453,107,992.25,15.75,0.137142857,0.037355102,0.017985185,0.000833902,0.644859813,0.644859813,0.644859813,0.497196262,1.4,0,0.781818182,0.2,0.902803738,0.934117647,0.385110239,0,0.148309896,1,1,0,0.214953271,0,0,0.597009346,0.202014226,0.040809748,12,107,0.402990654,0.202014226,0.040809748,0,1,1,2
309,0.001269841,0.072865269,1,3,42,1,20.5,20.5,0.614845225,0.614845225,105,420.25,10.25,0.068571429,0.017044898,0.001640613,0.000752386,0.038095238,0.038095238,0.038095238,0.47047619,1,0,0.525,0.2,0.52952381,0.531506849,0.222506847,0,0.049509297,1,1,0,0.180952381,0,0,0.560666667,0.210741397,0.044411937,21,105,0.439333333,0.210741397,0.044411937,0,1,1,2
310,0.009773663,0.157255378,1,8,96,1,21,21,0.615498282,0.615498282,108,441,10.5,0.005555556,0.012993827,0.003378512,0.000798992,0.037037037,0.037037037,0.037037037,0.47037037,1,0,0.490909091,0.2,0.52962963,0.546666667,0.237759316,0,0.056529492,1,1,0,0.203703704,0,0,0.550462963,0.21166616,0.044802563,15,108,0.449537037,0.21166616,0.044802563,0,1,1,2
311,0.000514403,0.061136047,1,2,36,1,28,28,0.557286131,0.557286131,110,784,14,0.105555556,0.005679012,0.002490677,0.00234513,0.063636364,0.063636364,0.063636364,0.427272727,1,0,0.414814815,0.2,0.572727273,0.624096386,0.243425961,0,0.059256198,1,1,0,0.309090909,0,0,0.643909091,0.194436694,0.037805628,14,110,0.356090909,0.194436694,0.037805628,0,1,1,2
312,0.000514403,0.116105375,1,2,56,1,43,43,0.344610432,0,110,1849,21.5,0.05,0.017777778,0.006755556,0.001055844,0.063636364,0.063636364,0.063636364,0.425454545,1,0,0.45,0.2,0.574545455,0.589795918,0.239862219,0,0.057533884,1,1,0,0.263636364,0,0,0.622818182,0.187873903,0.035296603,16,110,0.377181818,0.187873903,0.035296603,0,1,1,2
313,0.00617284,0.056633012,1,0,0,1,2,2,0.673011667,0.673011667,20,4,1,0.1,0.007777778,0.004691358,0.000987654,0,0,0,0.21,0.8,0,0.55,0.2,0.59,0.616666667,0.133790882,0,0.0179,1,1,0,0.05,0,0,0.5575,0.14428704,0.02081875,2,20,0.4425,0.14428704,0.02081875,0,1,1,2
314,0.00617284,0,1,1,5,1,7,7,0.422709088,0.422709088,20,49,3.5,0.066666667,0.017777778,0.035555556,0.004622222,0,0,0,0.24,0.8,0,0.466666667,0.2,0.56,0.576470588,0.174355958,0,0.0304,1,1,0,0.05,0,0,0.5635,0.112750831,0.01271275,2,20,0.4365,0.112750831,0.01271275,0,1,1,2
315,0.00617284,0,1,1,5,1,8,8,0.325082973,0,20,64,4,0.1,0.036666667,0.027654321,0.000750617,0,0,0,0.16,0.8,0,0.6,0.2,0.64,0.644444444,0.162480768,0,0.0264,1,1,0,0.15,0,0,0.631,0.130034611,0.016909,2,20,0.369,0.130034611,0.016909,0,1,1,2
316,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.166666667,0.01,0.036296296,0.002162963,0.3,0.3,0.3,0.23,1,0,0.4,0.4,0.77,0.789473684,0.181934054,0,0.0331,1,1,0,0.5,0,0,0.7755,0.125716944,0.01580475,0,19,0.2245,0.125716944,0.01580475,0,1,1,2
317,0.00617284,0,1,1,5,1,8,8,0.325082973,0,20,64,4,0.033333333,0.016666667,0.000740741,0.000385185,0.3,0.3,0.3,0.17,1,0,0.6,0.4,0.83,0.855555556,0.14525839,0,0.0211,1,1,0,0.65,0,0,0.801,0.136084533,0.018519,0,20,0.199,0.136084533,0.018519,0,1,1,2
318,0.00617284,0,1,1,5,1,8,8,0.325082973,0,20,64,4,0.1,0.016666667,0.005185185,0.000740741,0.05,0.05,0.05,0.28,1,0,0.6,0.6,0.72,0.733333333,0.116619038,0,0.0136,1,1,0,0.25,0,0,0.708,0.126751726,0.016066,0,20,0.292,0.126751726,0.016066,0,1,1,2
319,0.024691358,0,1,2,8,1,8,8,0.325082973,0,20,64,4,0.066666667,0.018888889,0.018765432,0.002528395,0.25,0.25,0.25,0.23,1,0,0.5,0.4,0.77,0.8,0.181934054,0,0.0331,1,1,0,0.45,0,0,0.777,0.130961826,0.017151,1,20,0.223,0.130961826,0.017151,0,1,1,2
320,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.133333333,0.004444444,0.003950617,0.003950617,0.05,0.05,0.05,0.29,1,0,0.71,0.6,0.71,0.71,0.117898261,0,0.0139,1,1,0,0.15,0,0,0.692,0.106141415,0.011266,0,20,0.308,0.106141415,0.011266,0,1,1,2
321,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.033333333,0.005555556,0.007654321,0.000246914,0.15,0.15,0.15,0.24,1,0,0.6,0.6,0.76,0.768421053,0.1356466,0,0.0184,1,1,0,0.45,0,0,0.7455,0.140693816,0.01979475,0,19,0.2545,0.140693816,0.01979475,0,1,1,2
322,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.1,0.032222222,0.001728395,0.001728395,0.2,0.2,0.2,0.23,1,0,0.77,0.4,0.77,0.77,0.170587221,0,0.0291,1,1,0,0.5,0,0,0.791,0.121321886,0.014719,2,20,0.209,0.121321886,0.014719,0,1,1,2
323,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.033333333,0.001111111,0.022469136,0.001728395,0.15,0.15,0.15,0.27,1,0,0.4,0.4,0.73,0.747368421,0.181934054,0,0.0331,1,1,0,0.35,0,0,0.7535,0.127132805,0.01616275,1,19,0.2465,0.127132805,0.01616275,0,1,1,2
324,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.133333333,0.013333333,0.002962963,0.002962963,0.55,0.55,0.55,0.1,1,0,0.9,0.6,0.9,0.9,0.118321596,0,0.014,1,1,0,0.8,0,0,0.866,0.105612499,0.011154,0,20,0.134,0.105612499,0.011154,0,1,1,2
325,0.00617284,0,1,1,5,1,9,9,0.198515243,0,20,81,4.5,0.066666667,0.008888889,0.000987654,0.000750617,0.35,0.35,0.35,0.16,1,0,0.8,0.6,0.84,0.842105263,0.1356466,0,0.0184,1,1,0,0.5,0,0,0.7825,0.143418095,0.02056875,0,19,0.2175,0.143418095,0.02056875,0,1,1,2
326,0,0,1,0,0,1,10,-10,0,0,20,100,5,0.066666667,0.001111111,0.000740741,0.000740741,0.5,0.5,0.5,0.1,1,0,0.9,0.8,0.9,0.9,0.1,0,0.01,1,1,0,0.75,0,0,0.8595,0.109839656,0.01206475,0,20,0.1405,0.109839656,0.01206475,0,1,1,2
327,0.00617284,0.185952959,1,1,3,1,4,4,0.610864302,0.610864302,20,16,2,0.066666667,0.014444444,0.028888889,0.001755556,0,0,0,0.32,0.8,0,0.466666667,0.2,0.48,0.485714286,0.172046505,0,0.0296,1,1,0,0.1,0,0,0.538,0.142112631,0.020196,2,20,0.462,0.142112631,0.020196,0,1,1,2
328,0.018518519,0.185952959,1,2,8,1,7,7,0.422709088,0.422709088,20,49,3.5,0.1,0.023333333,0.006666667,0.001088889,0,0,0,0.25,0.8,0,0.466666667,0.2,0.55,0.564705882,0.177482393,0,0.0315,1,1,0,0.1,0,0,0.5645,0.157209255,0.02471475,5,20,0.4355,0.157209255,0.02471475,0,1,1,2
329,0.024691358,0,1,2,8,1,8,8,0.325082973,0,20,64,4,0.1,0.025555556,0.02,0.002755556,0.05,0.05,0.05,0.31,1,0,0.4,0.4,0.69,0.722222222,0.160934769,0,0.0259,1,1,0,0.45,0,0,0.732,0.118768683,0.014106,2,20,0.268,0.118768683,0.014106,0,1,1,2
330,0.002000616,0.095009553,1,4,64,1,26,26,0.589002605,0.589002605,116,676,13,0.047368421,0.010415512,0.00017149,0.000522847,0.155172414,0.155172414,0.155172414,0.365517241,1,0,0.5375,0.2,0.634482759,0.671428571,0.260339118,0,0.067776457,1,1,0,0.293103448,0,0,0.610086207,0.228991401,0.052437062,17,116,0.389913793,0.228991401,0.052437062,0,1,1,2
