,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC
253,0.009018383628165106,0.12160408798191868,0.0,7.0,56.0,1.0,9.5,9.5,0.6730116670092565,0.6730116670092565,95.0,90.25,4.75,0.0567741935483872,0.04523329864724246,0.002746952037861137,0.0003741941015089158,0.22105263157894736,0.17894736842105263,0.1368421052631579,0.3028421052631577,1.0,0.0,0.6239473684210526,0.03,0.6971578947368423,0.7459649122807018,0.2101311027249654,0.021052631578947368,0.04415508033240997,1.0,1.0,0.16842105263157894,0.0,0.0,0.5298947368421052,0.21260536576306474,0.045201041551246546,4.0,95.0,0.4701052631578947,0.21260536576306474,0.045201041551246546,0.0,1.0,1.0
254,0.0016186842409527085,0.051283510741980565,1.0,3.0,24.0,1.0,12.5,12.5,0.6581099875431143,0.6581099875431143,95.0,156.25,6.25,0.14645161290322584,0.051240374609781494,0.004774735799669674,0.004711338214170901,0.25263157894736843,0.18947368421052632,0.1368421052631579,0.2978947368421052,1.0,0.0,0.6842857142857144,0.0,0.7021052631578948,0.7125,0.22950699903026517,0.031578947368421054,0.05267346260387813,1.0,1.0,0.30526315789473685,0.0,0.0,0.5066315789473683,0.26205507868753086,0.06867286426592799,5.0,95.0,0.4933684210526317,0.2620550786875308,0.06867286426592797,0.0,1.0,1.0
255,0.002962962962962967,0.11388498016043969,1.0,4.0,48.0,1.0,18.0,18.0,0.6108643020548935,0.6108643020548935,90.0,324.0,9.0,0.051999999999999935,0.011085666666666695,0.0014228888888888874,0.0002109994749002307,0.15555555555555556,0.12222222222222222,0.07777777777777778,0.3262222222222222,1.0,0.0,0.5507407407407408,0.0899999999999999,0.6737777777777778,0.7265079365079365,0.2071101573654721,0.022222222222222223,0.042894617283950616,1.0,1.0,0.3333333333333333,1.0,0.0,0.6532222222222223,0.2159414929907213,0.04663072839506174,3.0,90.0,0.34677777777777774,0.2159414929907213,0.04663072839506173,0.0,1.0,1.0
256,0.0002312406058503885,0.09671122642377503,1.0,1.0,28.0,1.0,42.5,42.5,0.20619205063323187,0.0,95.0,1806.25,21.25,0.009354838709677127,0.014831633714880332,0.028461728395061725,0.00011248337112622737,0.42105263157894735,0.30526315789473685,0.25263157894736843,0.19515789473684197,1.0,0.0,0.576,0.24,0.804842105263158,0.8175555555555556,0.18760464116071743,0.0,0.03519550138504155,1.0,1.0,0.5684210526315789,0.0,0.0,0.7782105263157894,0.18070026911329637,0.03265258725761773,3.0,95.0,0.22178947368421045,0.18070026911329637,0.03265258725761773,0.0,1.0,1.0
257,0.0016186842409527124,0.025195091266087877,0.0,3.0,12.0,1.0,2.5,2.5,0.6917614988524178,0.6917614988524178,95.0,6.25,1.25,0.08096774193548406,0.012734443288241425,0.0006431085915847826,0.0016541255166282196,0.10526315789473684,0.05263157894736842,0.042105263157894736,0.3447368421052631,1.0,1.0,0.6615555555555556,0.31,0.6552631578947369,0.6496,0.14862770234992256,0.0,0.02209019390581718,1.0,0.0,0.16842105263157894,0.0,0.0,0.53,0.19412421416792858,0.037684210526315806,3.0,95.0,0.47,0.19412421416792855,0.03768421052631579,0.0,1.0,0.0
258,0.0002312406058503885,0.09671122642377503,1.0,1.0,28.0,1.0,42.5,42.5,0.20619205063323187,0.0,95.0,1806.25,21.25,0.1029032258064515,0.02261956295525495,0.015603954214360024,0.0017897857535782047,0.5473684210526316,0.42105263157894735,0.35789473684210527,0.16568421052631577,1.0,0.0,0.618,0.24,0.8343157894736842,0.8463333333333334,0.1876988216410251,0.0,0.03523084764542936,1.0,1.0,0.6842105263157895,1.0,0.0,0.8017894736842104,0.20794219311787196,0.04323995567867036,3.0,95.0,0.19821052631578945,0.20794219311787196,0.04323995567867035,0.0,1.0,1.0
259,0.0016186842409527124,0.025195091266087877,0.0,3.0,12.0,1.0,0.5,0.5,0.6930917778747354,0.6930917778747354,95.0,0.25,0.25,0.07967741935483852,0.008919042663891784,0.0054426666666666694,0.01018446180555556,0.2631578947368421,0.23157894736842105,0.22105263157894736,0.26526315789473687,1.0,1.0,0.8182978723404254,0.21,0.7347368421052631,0.6529166666666667,0.19729135337450424,0.0,0.0389238781163435,1.0,0.0,0.15789473684210525,0.0,0.0,0.5069473684210526,0.21014317767811005,0.04416015512465373,4.0,95.0,0.4930526315789474,0.21014317767811005,0.04416015512465373,0.0,1.0,1.0
260,0.0002312406058503885,0.008374316953601468,1.0,1.0,4.0,1.0,5.5,5.5,0.6864285191146048,0.6864285191146048,95.0,30.25,2.75,0.0706451612903225,0.007635171696149839,0.0015255008117645418,0.000731015848605238,0.12631578947368421,0.09473684210526316,0.05263157894736842,0.3680000000000001,1.0,0.0,0.605,0.2,0.6319999999999999,0.6533962264150942,0.1717623817646742,0.0,0.02950231578947369,1.0,1.0,0.10526315789473684,0.0,0.0,0.5254736842105262,0.17549190067412246,0.030797407202216066,5.0,95.0,0.47452631578947374,0.17549190067412246,0.030797407202216062,0.0,1.0,1.0
261,0.002081165452653487,0.1292193629329002,1.0,3.0,54.0,1.0,29.5,29.5,0.4854589008124922,0.4854589008124922,95.0,870.25,14.75,0.023225806451612874,0.012478668054110298,0.0018452664399092975,0.00039445920972412863,0.17894736842105263,0.15789473684210525,0.10526315789473684,0.2828421052631579,1.0,0.0,0.6177777777777779,0.25,0.7171578947368421,0.7403896103896103,0.17643643947471632,0.0,0.03112981717451524,1.0,1.0,0.17894736842105263,0.0,0.0,0.6431578947368422,0.1679113999320678,0.028194238227146815,2.0,95.0,0.3568421052631578,0.1679113999320678,0.028194238227146815,0.0,1.0,1.0
262,0.001618684240952708,0.2025862541935032,1.0,3.0,72.0,1.0,36.5,36.5,0.3584510062992733,0.0,95.0,1332.25,18.25,0.11193548387096763,0.03203579604578563,0.0029419999999999997,0.002313266074451708,0.3684210526315789,0.25263157894736843,0.18947368421052632,0.223157894736842,1.0,0.0,0.5509090909090909,0.1899999999999999,0.776842105263158,0.8064285714285715,0.1942123805360065,0.0,0.0377184487534626,1.0,1.0,0.3684210526315789,0.0,0.0,0.7225263157894738,0.1864175755270247,0.03475151246537396,3.0,95.0,0.27747368421052626,0.1864175755270247,0.03475151246537396,0.0,1.0,1.0
