,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,HAC,MR,NA,NONE,SP,WC,dataset_id
26,0.001056943,0.092971603,1,2,34,1,25.5,25.5,0.518535161,0.518535161,89,650.25,12.75,0.079655172,0.034887039,0.013406095,4.06E-05,0.325842697,0.157303371,0.123595506,0.237977528,1,0,0.568421053,0.01,0.762022472,0.814571429,0.202235705,0.011235955,0.04089928,0.483146067,0,0,0.73505618,0.191317864,0.036602525,0.011235955,1,0.26494382,0.191317864,0.036602525,0,0,0,1,1,0,0,1
27,0.003435064,0.048366755,1,4,20,1,7.5,7.5,0.678876413,0.678876413,89,56.25,3.75,0.062413793,0.031012366,0.003724575,0.000793417,0.303370787,0.191011236,0.134831461,0.303595506,1,0,0.582162162,0.03,0.696404494,0.777692308,0.272042822,0.056179775,0.074007297,0.460674157,0,0,0.65494382,0.276357217,0.076373311,0.033707865,1,0.34505618,0.276357217,0.076373311,0,0,0,1,0,1,0,1
28,0.000792707,0.014343138,0,2,6,1,4.5,4.5,0.68802544,0.68802544,89,20.25,2.25,0.026551724,0.008453032,0.015562484,0.009069825,0.314606742,0.179775281,0.157303371,0.287865169,1,1,0.8145,0.04,0.712134831,0.628571429,0.260545978,0.06741573,0.067884207,0.426966292,0,0,0.591011236,0.290466672,0.084370888,0,1,0.408988764,0.290466672,0.084370888,0,0,1,0,0,1,0,1
29,0.000792707,0.066711667,1,2,26,1,19.5,19.5,0.593800269,0.593800269,89,380.25,9.75,0.098275862,0.036619976,0.003897505,0.002557477,0.516853933,0.404494382,0.359550562,0.248876404,1,1,0.838,0,0.751123596,0.7171875,0.328566646,0.123595506,0.107956041,0.775280899,0.02247191,0,0.523932584,0.406891803,0.165560939,0,1,0.476067416,0.406891803,0.165560939,0,0,1,0,0,1,1,1
30,0.003170828,0.111060875,1,4,44,1,17.5,17.5,0.613693367,0.613693367,89,306.25,8.75,0.14862069,0.054906778,0.021645401,9.49E-05,0.325842697,0.179775281,0.123595506,0.280224719,1,0,0.483333333,0,0.719775281,0.822741935,0.25701387,0.06741573,0.066056129,0.449438202,0,0,0.701685393,0.244743553,0.059899407,0.02247191,1,0.298314607,0.244743553,0.059899407,0,1,1,0,0,0,1,1
31,0.000792707,0.079186905,1,2,30,1,22.5,22.5,0.559228061,0.559228061,89,506.25,11.25,0.12137931,0.014699643,0.008918673,0.001946972,0.213483146,0.101123596,0.08988764,0.304719101,1,0,0.568181818,0.12,0.695280899,0.737014925,0.210553524,0.033707865,0.044332786,0.382022472,0,0,0.66494382,0.231293984,0.053496907,0.02247191,1,0.33505618,0.231293984,0.053496907,0,0,0,1,1,0,0,1
32,0.003435064,0.187812743,1,4,68,1,24.5,24.5,0.532816209,0.532816209,89,600.25,12.25,0.087241379,0.032662782,0.001948427,0.000724824,0.213483146,0.078651685,0.033707865,0.312134831,1,0,0.5095,0.01,0.687865169,0.739565217,0.210886156,0.02247191,0.044472971,0.449438202,0,0,0.683707865,0.228715917,0.052310971,0.02247191,1,0.316292135,0.228715917,0.052310971,0,1,1,0,0,1,1,1
33,0.019817677,0.513730574,1,10,170,1,24.5,24.5,0.532816209,0.532816209,89,600.25,12.25,0.050344828,0.006622117,0.007787534,0.000488117,0.325842697,0.191011236,0.157303371,0.262808989,1,0,0.471,0.05,0.737191011,0.814347826,0.234170728,0.033707865,0.05483593,0.471910112,0,0,0.716292135,0.216106414,0.046701982,0.011235955,1,0.283707865,0.216106414,0.046701982,0,1,1,0,0,1,1,1
34,0.000987654,0.056598997,1,2,24,1,17,17,0.619986802,0.619986802,90,289,8.5,0.097333333,0.031760333,0.0085715,0.003491167,0.222222222,0.111111111,0.077777778,0.315222222,1,0,0.545357143,0.02,0.684777778,0.747741935,0.232576046,0.044444444,0.054091617,0.422222222,0,0,0.647555556,0.241643958,0.058391802,0.033333333,1,0.352444444,0.241643958,0.058391802,0,1,1,0,0,1,1,1
35,0.007134364,0.103549927,1,6,42,1,10.5,10.5,0.665045549,0.665045549,89,110.25,5.25,0.060689655,0.015681332,0.000586775,0.001459878,0.258426966,0.157303371,0.101123596,0.319325843,1,0,0.528235294,0,0.680674157,0.774909091,0.241390158,0.04494382,0.058269208,0.438202247,0,0,0.634382022,0.258195793,0.066665068,0.011235955,1,0.365617978,0.258195793,0.066665068,0,0,0,1,0,1,0,1
36,0.00184965,0.129309585,1,3,48,1,24.5,24.5,0.532816209,0.532816209,89,600.25,12.25,0.075517241,0.019195006,0.004629891,0.000662863,0.314606742,0.213483146,0.134831461,0.233370787,1,0,0.6275,0.06,0.766629213,0.806956522,0.201795,0.011235955,0.040721222,0.483146067,0,0,0.704719101,0.235124112,0.055283348,0,1,0.295280899,0.235124112,0.055283348,0,0,0,1,1,0,0,1
37,0.000264236,0.004765709,0,1,2,1,2.5,2.5,0.691568266,0.691568266,89,6.25,1.25,0.083448276,0.015922473,0.017770534,0.0030816,0.258426966,0.179775281,0.112359551,0.32247191,1,0,0.557857143,0.03,0.67752809,0.784468085,0.252970136,0.056179775,0.06399389,0.393258427,0,0,0.63,0.255488077,0.065274157,0,1,0.37,0.255488077,0.065274157,0,1,1,0,0,0,1,1
38,0.001056943,0.108625837,1,2,38,1,30.5,30.5,0.435171076,0.435171076,89,930.25,15.25,0.060689655,0.064455172,0.026437556,0.000477207,0.460674157,0.337078652,0.269662921,0.22258427,1,0,0.328571429,0.05,0.77741573,0.8612,0.247252444,0.056179775,0.061133771,0.606741573,0,0,0.778876404,0.187391546,0.035115591,0.02247191,1,0.221123596,0.187391546,0.035115591,0,1,1,0,0,1,1,1
39,0.000264236,0.01953972,0,1,8,1,2.5,2.5,0.691568266,0.691568266,89,6.25,1.25,0.069310345,0.045323424,0.017253855,0.004409801,0.337078652,0.213483146,0.157303371,0.26741573,1,0,0.636428571,0,0.73258427,0.818510638,0.270565484,0.06741573,0.073205681,0.539325843,0,0,0.621573034,0.320799209,0.102912132,0.011235955,1,0.378426966,0.320799209,0.102912132,0,0,0,1,0,1,0,1
40,0.003170828,0.309698096,1,4,92,1,35.5,35.5,0.327544775,0,89,1260.25,17.75,0.090689655,0.012892509,0.016500617,0.00266247,0.438202247,0.348314607,0.258426966,0.195842697,1,0,0.438888889,0.02,0.804157303,0.84525,0.214862428,0.02247191,0.046165863,0.573033708,0,0,0.782022472,0.18882951,0.035656584,0.02247191,1,0.217977528,0.18882951,0.035656584,0,1,1,0,0,1,1,1
41,0.001056943,0.150235058,1,2,46,1,34.5,34.5,0.351420288,0,89,1190.25,17.25,0.068275862,0.030180975,0.0014,5.56E-05,0.629213483,0.438202247,0.393258427,0.139662921,1,0,0.519,0.15,0.860337079,0.903544304,0.188956029,0.011235955,0.035704381,0.730337079,0,0,0.826966292,0.214000969,0.045796415,0.011235955,1,0.173033708,0.214000969,0.045796415,0,1,1,0,0,1,1,1
42,0.005020478,0.073176243,1,5,30,1,8.5,8.5,0.674791952,0.674791952,89,72.25,4.25,0.113793103,0.007690844,0.000125869,0.002873858,0.337078652,0.235955056,0.202247191,0.349775281,1,1,0.818333333,0,0.650224719,0.536037736,0.331140276,0.157303371,0.109653882,0.550561798,0.011235955,0,0.629213483,0.308414666,0.095119606,0.011235955,1,0.370786517,0.308414666,0.095119606,0,0,1,0,0,1,0,1
43,0.000264236,0.004765709,0,1,2,1,0.5,0.5,0.693084056,0.693084056,89,0.25,0.25,0.065862069,0.029795006,0.00401447,0.01031042,0.404494382,0.280898876,0.224719101,0.25,1,0,0.6575,0,0.75,0.840444444,0.278010589,0.06741573,0.077289888,0.651685393,0.011235955,0,0.605842697,0.330956425,0.109532155,0.011235955,1,0.394157303,0.330956425,0.109532155,0,0,0,1,0,1,0,1
44,0.006605892,0.098784218,1,5,40,1,14.5,14.5,0.639078722,0.639078722,89,210.25,7.25,0.016896552,0.032749346,0.003914043,0.000243185,0.494382022,0.359550562,0.280898876,0.180337079,1,0,0.785,0,0.819662921,0.837288136,0.203759328,0.011235955,0.041517864,0.595505618,0,0,0.626067416,0.323831063,0.104866557,0.011235955,1,0.373932584,0.323831063,0.104866557,0,0,0,1,1,0,0,1
45,0.000987654,0.125478235,1,2,44,1,32,32,0.412950124,0,90,1024,16,0.043666667,0.032291556,0.001568389,0.000917404,0.355555556,0.222222222,0.155555556,0.261333333,1,0,0.378461538,0,0.738666667,0.799480519,0.253605994,0.055555556,0.064316,0.488888889,0,0,0.745666667,0.180234724,0.032484556,0.033333333,1,0.254333333,0.180234724,0.032484556,0,1,1,0,0,1,1,1
46,0.003435064,0.15968327,1,4,60,1,24.5,24.5,0.532816209,0.532816209,89,600.25,12.25,0.04862069,0.022466825,0.014094268,0.000223998,0.348314607,0.235955056,0.146067416,0.239213483,1,0,0.591,0.13,0.760786517,0.81,0.209971773,0.011235955,0.044088145,0.471910112,0.011235955,0,0.716179775,0.220767332,0.048738215,0.011235955,1,0.283820225,0.220767332,0.048738215,0,0,0,1,1,0,0,1
47,0.00184965,0.028827035,1,3,12,1,6.5,6.5,0.682441074,0.682441074,89,42.25,3.25,0.081034483,0.046851843,0.008759767,0.013757314,0.303370787,0.157303371,0.101123596,0.299550562,1,0,0.579473684,0.03,0.700449438,0.790588235,0.246412052,0.056179775,0.060718899,0.359550562,0,0,0.661685393,0.236691787,0.056023002,0.02247191,1,0.338314607,0.236691787,0.056023002,0,0,0,1,0,1,0,1
48,0.010305192,0.13988791,1,7,56,1,12.5,12.5,0.653159166,0.653159166,89,156.25,6.25,0.017931034,0.017587158,0.003165511,0.000941783,0.325842697,0.247191011,0.168539326,0.314382022,1,0,0.4571875,0,0.685617978,0.813859649,0.298189123,0.078651685,0.088916753,0.471910112,0,0,0.688876404,0.257771078,0.066445929,0.011235955,1,0.311123596,0.257771078,0.066445929,0,1,1,0,0,0,1,1
49,0.025630863,0.436832019,1,11,154,1,19.5,19.5,0.593800269,0.593800269,89,380.25,9.75,0.10862069,0.036515577,0.00856331,0.000358761,0.269662921,0.179775281,0.101123596,0.291011236,1,0,0.512,0,0.708988764,0.7859375,0.222574542,0.033707865,0.049539427,0.393258427,0,0,0.667752809,0.2356142,0.055514051,0.02247191,1,0.332247191,0.2356142,0.055514051,0,1,1,0,0,1,1,1
50,0.000264236,0.042848923,1,1,16,1,25.5,25.5,0.518535161,0.518535161,89,650.25,12.75,0.082068966,0.05160547,0.012668056,0.000413272,0.348314607,0.235955056,0.191011236,0.269325843,1,0,0.396842105,0,0.730674157,0.821285714,0.268599354,0.06741573,0.072145613,0.516853933,0,0,0.78258427,0.185681424,0.034477591,0.02247191,1,0.21741573,0.185681424,0.034477591,0,1,1,0,0,1,1,1
51,0.002378121,0.208738216,1,3,66,1,32.5,32.5,0.395468985,0,89,1056.25,16.25,0.00862069,0.020353627,0.010883432,0.000348302,0.438202247,0.325842697,0.280898876,0.200224719,1,0,0.4825,0,0.799775281,0.849220779,0.224203847,0.02247191,0.050267365,0.629213483,0,0,0.816067416,0.189811367,0.036028355,0,1,0.183932584,0.189811367,0.036028355,0,1,1,0,0,1,1,1
52,0.001056943,0.024061326,0,2,10,1,2.5,2.5,0.691568266,0.691568266,89,6.25,1.25,0.048965517,0.011822592,0.014916904,0.002958519,0.370786517,0.303370787,0.235955056,0.29,1,1,0.800238095,0,0.71,0.629361702,0.300149775,0.101123596,0.090089888,0.516853933,0,0,0.591123596,0.316140483,0.099944805,0.04494382,1,0.408876404,0.316140483,0.099944805,0,0,1,0,0,1,0,1
53,0.001056943,0.108625837,1,2,38,1,29.5,29.5,0.45356255,0.45356255,89,870.25,14.75,0.036896552,0.018507491,0.000730247,0.000124256,0.382022472,0.258426966,0.179775281,0.218651685,1,0,0.585333333,0.17,0.781348315,0.821081081,0.20709435,0,0.04288807,0.483146067,0,0,0.752359551,0.203226903,0.041301174,0.02247191,1,0.247640449,0.203226903,0.041301174,0,0,0,1,1,0,0,1
54,0.000792707,0.127098806,1,2,42,1,32.5,32.5,0.395468985,0,89,1056.25,16.25,0.031034483,0.014431391,0.001968056,0.000245049,0.359550562,0.179775281,0.112359551,0.255617978,1,0,0.429166667,0,0.744382022,0.793506494,0.224809308,0.011235955,0.050539225,0.449438202,0,0,0.751685393,0.182438144,0.033283676,0,1,0.248314607,0.182438144,0.033283676,0,1,1,0,0,1,1,1
55,0.007134364,0.204032478,1,6,78,1,20.5,20.5,0.582923286,0.582923286,89,420.25,10.25,0.042413793,0.006785969,0.00115435,0.000659673,0.393258427,0.280898876,0.213483146,0.238089888,1,0,0.569166667,0.06,0.761910112,0.833076923,0.237977793,0.033707865,0.05663343,0.528089888,0,0,0.700561798,0.26654409,0.071045752,0.033707865,1,0.299438202,0.26654409,0.071045752,0,1,1,0,0,1,1,1
56,0.003209877,0.093096496,1,4,40,1,16,16,0.628533173,0.628533173,90,256,8,0.012666667,0.001444889,0.002244667,0.000387439,0.211111111,0.144444444,0.111111111,0.368444444,1,1,0.704137931,0,0.631555556,0.59704918,0.274132616,0.077777778,0.075148691,0.377777778,0,0,0.517888889,0.272798234,0.074418877,0.066666667,1,0.482111111,0.272798234,0.074418877,0,0,1,0,0,1,1,1
57,0.00184965,0.15147476,1,3,54,1,28.5,28.5,0.471052563,0.471052563,89,812.25,14.25,0.053448276,0.011787872,0.00431797,0.001336367,0.325842697,0.224719101,0.157303371,0.270337079,1,0,0.441875,0.06,0.729662921,0.792739726,0.233408787,0.02247191,0.054479662,0.449438202,0,0,0.714269663,0.209063657,0.043707613,0.033707865,1,0.285730337,0.209063657,0.043707613,0,1,1,0,0,1,1,1
58,0.003170828,0.048366755,1,4,20,1,8.5,8.5,0.674791952,0.674791952,89,72.25,4.25,0.02137931,0.040066587,0.025823243,0.017524543,0.280898876,0.112359551,0.08988764,0.314494382,1,0,0.522222222,0.02,0.685505618,0.796415094,0.23355586,0.033707865,0.05454834,0.393258427,0,0,0.659101124,0.241691792,0.058414922,0.02247191,1,0.340898876,0.241691792,0.058414922,0,0,0,1,0,1,0,1
59,0.003435064,0.309698096,1,4,92,1,36.5,36.5,0.302277787,0,89,1332.25,18.25,0.086206897,0.048482759,0.000306173,0.001676008,0.584269663,0.471910112,0.393258427,0.160449438,1,0,0.33125,0,0.839550562,0.889753086,0.235022878,0.04494382,0.055235753,0.797752809,0,0,0.855730337,0.174019808,0.030282894,0,1,0.144269663,0.174019808,0.030282894,0,1,1,0,0,1,1,1
60,0.000792707,0.127098806,1,2,42,1,32.5,32.5,0.395468985,0,89,1056.25,16.25,0.123103448,0.0375717,0.028462321,0.000728151,0.528089888,0.393258427,0.280898876,0.157865169,1,0,0.468333333,0.02,0.842134831,0.90038961,0.203847662,0.011235955,0.041553869,0.674157303,0,0,0.803595506,0.19200449,0.036865724,0.011235955,1,0.196404494,0.19200449,0.036865724,0,1,1,0,0,1,1,1
