,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
456,0.000987654,0.178938227,1,2,52,1,41,41,0.211123404,0,92,1681,20.5,0.057333333,0.016772444,0.014891358,0.000246907,0.695652174,0.608695652,0.554347826,0.078152174,1,0,0.814,0.36,0.921847826,0.928045977,0.117574485,0,0.013823759,1,1,0,0.804347826,0,0,0.85576087,0.210497515,0.044309204,0,92,0.14423913,0.210497515,0.044309204,0,1,1,1
458,0.003209877,0.255472397,1,4,88,1,35,35,0.366057821,0,92,1225,17.5,0.066,0.015447444,0.000248667,0.000988613,0.380434783,0.304347826,0.195652174,0.203152174,1,0,0.752727273,0.25,0.796847826,0.802839506,0.170924146,0,0.029215064,1,1,0,0.423913043,0,0,0.705,0.198288876,0.039318478,0,92,0.295,0.198288876,0.039318478,0,1,1,1
460,0.000740741,0.079512748,1,2,32,1,25,25,0.537166376,0.537166376,92,625,12.5,0.037666667,0.014021222,0.001242792,0.000403536,0.423913043,0.369565217,0.336956522,0.159130435,1,0,0.832380952,0.36,0.840869565,0.843380282,0.152384327,0,0.023220983,1,1,0,0.597826087,0,0,0.68326087,0.288678054,0.083335019,1,92,0.31673913,0.288678054,0.083335019,0,1,1,1
461,0.000246914,0.057886742,1,1,21,1,31,31,0.444682376,0.444682376,92,961,15.5,0.052,0.022787111,0.014980247,0.000335945,0.423913043,0.304347826,0.239130435,0.198913043,1,0,0.638666667,0.16,0.801086957,0.832727273,0.192113285,0,0.036907514,1,1,0,0.456521739,0,0,0.695,0.240856714,0.058011957,2,92,0.305,0.240856714,0.058011957,0,1,1,1
462,0.002962963,0.11388498,1,4,48,1,18,18,0.61450332,0.61450332,92,324,9,0.095666667,0.033893,0.000350531,0.002252198,0.5,0.402173913,0.315217391,0.181847826,1,0,0.794642857,0,0.818152174,0.8284375,0.215648311,0.032608696,0.046504194,1,1,0,0.391304348,0,0,0.560434783,0.286970355,0.082351985,1,92,0.439565217,0.286970355,0.082351985,0,1,1,1
463,0.004691358,0.156755338,1,5,65,1,21,21,0.584980956,0.584980956,92,441,10.5,0.056666667,0.008317778,0.001723731,0.000993356,0.445652174,0.413043478,0.336956522,0.179565217,1,0,0.7404,0.31,0.820434783,0.850298507,0.183278791,0,0.033591115,1,1,0,0.456521739,0,0,0.658478261,0.248337668,0.061671597,3,92,0.341521739,0.248337668,0.061671597,0,1,1,1
465,0.004691358,0.298342755,1,5,105,1,31,31,0.432225932,0.432225932,90,961,15.5,0.029666667,0.018678556,0.003224074,5.26E-05,0.377777778,0.244444444,0.166666667,0.229111111,1,0,0.644285714,0,0.770888889,0.794210526,0.196630756,0.011111111,0.038663654,1,1,0,0.344444444,0,0,0.675111111,0.200229005,0.040091654,2,90,0.324888889,0.200229005,0.040091654,0,1,1,1
466,0.000246914,0.080152947,1,1,25,1,37,37,0.299959552,0,90,1369,18.5,0.018333333,0.014775222,0.000538889,0.000470706,0.444444444,0.344444444,0.255555556,0.212222222,1,0,0.2625,0.03,0.787777778,0.83902439,0.232057358,0.022222222,0.053850617,1,1,0,0.588888889,0,0,0.808111111,0.169881622,0.028859765,2,90,0.191888889,0.169881622,0.028859765,0,1,1,1
467,0.003209877,0.093096496,1,4,40,1,15,15,0.638996087,0.638996087,92,225,7.5,0.079666667,0.004212778,0.002755739,0.000554636,0.282608696,0.163043478,0.119565217,0.259782609,1,0,0.67516129,0.32,0.740217391,0.773278689,0.183871282,0,0.033808648,1,1,0,0.304347826,0,0,0.620869565,0.232082501,0.053862287,1,92,0.379130435,0.232082501,0.053862287,0,1,1,1
470,0.005185185,0.254832198,1,5,95,1,30,30,0.450561209,0.450561209,90,900,15,0.079,0.008763111,0.002631167,0.001268318,0.466666667,0.355555556,0.266666667,0.202444444,1,0,0.627333333,0.35,0.797555556,0.8316,0.196899924,0,0.03876958,1,1,0,0.522222222,0,0,0.741666667,0.214782836,0.046131667,1,90,0.258333333,0.214782836,0.046131667,0,1,1,1
472,0.001728395,0.047717597,1,3,21,1,10,10,0.668248478,0.668248478,90,100,5,0.044333333,0.034091667,0.015212307,0.004611606,0.333333333,0.277777778,0.211111111,0.277777778,1,0,0.623428571,0.03,0.722222222,0.785090909,0.270447275,0.066666667,0.073141728,1,1,0,0.477777778,2,0,0.576777778,0.307657197,0.094652951,2,90,0.423222222,0.307657197,0.094652951,0,1,1,1
475,0.004691358,0.185952959,1,5,75,1,22,22,0.568356643,0.568356643,90,484,11,0.04,0.010088333,0.001094667,0.000861198,0.111111111,0.055555556,0.044444444,0.357333333,1,0,0.519565217,0.08,0.642666667,0.684925373,0.197618038,0.033333333,0.039052889,1,1,0,0.277777778,0,0,0.634777778,0.204744978,0.041920506,4,90,0.365222222,0.204744978,0.041920506,0,1,1,1
479,0.006666667,0.082282879,1,3,27,1,9,9,0.673011667,0.673011667,90,81,4.5,0.072666667,0.046819556,0.000619461,0.002251447,0.433333333,0.333333333,0.255555556,0.215888889,1,0,0.758888889,0,0.784111111,0.800925926,0.239457231,0.022222222,0.057339765,1,1,0,0.533333333,0,0,0.505111111,0.324692143,0.105424988,3,90,0.494888889,0.324692143,0.105424988,0,1,1,1
480,0.012098765,0.149874399,1,3,39,1,13,13,0.650818076,0.650818076,90,169,6.5,0.075,0.024699,0.001419551,0.00048397,0.266666667,0.2,0.144444444,0.260333333,1,0,0.635,0,0.739666667,0.797413793,0.221918153,0.022222222,0.049247667,1,1,0,0.355555556,1,0,0.629222222,0.243179073,0.059136062,4,90,0.370777778,0.243179073,0.059136062,0,1,1,1
482,1.23E-32,0,1,0,0,1,18,18,0.610864302,0.610864302,90,324,9,0.054666667,0.013980444,0.004135721,0.000515835,0.266666667,0.177777778,0.1,0.269,1,0,0.629259259,0.19,0.731,0.774603175,0.204895909,0,0.041982333,1,1,0,0.333333333,0,0,0.661333333,0.230454623,0.053109333,4,90,0.338666667,0.230454623,0.053109333,0,1,1,1
483,0.001728395,0.17531945,1,3,63,1,32,32,0.412950124,0,90,1024,16,0.088333333,0.026252778,0.0074625,0.00118063,0.422222222,0.333333333,0.277777778,0.195222222,1,0,0.591538462,0.14,0.804777778,0.840779221,0.197113773,0.011111111,0.03885384,1,1,0,0.6,0,0,0.770777778,0.222412169,0.049467173,0,90,0.229222222,0.222412169,0.049467173,0,1,1,1
485,0.001728395,0.150598314,1,3,57,1,29,29,0.468007043,0.468007043,90,841,14.5,0.082,0.01306,0.003381556,0.001145933,0.177777778,0.111111111,0.066666667,0.314666667,1,0,0.565625,0.22,0.685333333,0.711216216,0.191207857,0,0.036560444,1,1,0,0.333333333,0,0,0.673111111,0.200940259,0.040376988,3,90,0.326888889,0.200940259,0.040376988,0,1,1,1
487,0.005185185,0.156755338,1,5,65,1,21,21,0.579915171,0.579915171,90,441,10.5,0.068,0.032233333,0.008282492,7.45E-06,0.233333333,0.144444444,0.077777778,0.306444444,1,0,0.553333333,0,0.693555556,0.744545455,0.227138289,0.022222222,0.051591802,1,1,0,0.377777778,0,0,0.683777778,0.212156011,0.045010173,3,90,0.316222222,0.212156011,0.045010173,0,1,1,1
488,0,0,1,0,0,1,30,30,0.450561209,0.450561209,90,900,15,0.039666667,0.03924,0.002800617,0.000819097,0.411111111,0.266666667,0.222222222,0.222555556,1,0,0.464,0.09,0.777444444,0.840133333,0.225134829,0.033333333,0.050685691,1,1,0,0.511111111,0,0,0.761777778,0.190593096,0.036325728,4,90,0.238222222,0.190593096,0.036325728,0,1,1,1
492,0.003209877,0.136111745,1,4,56,1,22,22,0.568356643,0.568356643,90,484,11,0.056333333,0.035336111,0.00044052,0.000188297,0.322222222,0.233333333,0.2,0.264666667,1,0,0.593478261,0,0.735333333,0.784029851,0.238267823,0.033333333,0.056771556,1,1,0,0.411111111,1,0,0.638333333,0.258294621,0.066716111,4,90,0.361666667,0.258294621,0.066716111,0,1,1,1
493,0.00691358,0.255472397,1,6,144,1,37,37,0.299959552,0,90,1369,18.5,0.056,0.019074667,0.010418673,6.31E-05,0.444444444,0.322222222,0.266666667,0.171777778,1,0,0.54875,0.18,0.828222222,0.855487805,0.166015915,0,0.027561284,1,1,0,0.633333333,0,0,0.802777778,0.17868052,0.031926728,0,90,0.197222222,0.17868052,0.031926728,0,1,1,1
