,Answer,Confidence,Class,1,2,sum_prediction
0,1,0.6,1,0.7,0.3,1.0
1,2,0.2,0,0.67,0.33,1.0
2,1,0.6,1,0.55,0.45,1.0
3,2,0.8,0,0.45,0.55,1.0
4,1,0.8,1,0.75,0.25,1.0
5,1,0.4,1,0.7,0.3,1.0
6,1,0.8,1,0.8,0.2,1.0
7,2,0.4,0,0.6,0.4,1.0
8,1,0.2,1,0.5,0.5,1.0
9,1,0.6,1,0.5,0.5,1.0
10,1,0.6,1,0.5,0.5,1.0
11,1,0.4,1,0.6,0.4,1.0
12,1,0.8,1,0.7,0.3,1.0
13,1,0.6,1,0.65,0.35,1.0
14,1,0.4,1,0.65,0.35,1.0
15,1,0.8,1,0.48,0.52,1.0
16,2,0.6,0,0.45,0.55,1.0
17,2,0.6,0,0.7,0.3,1.0
18,1,0.6,1,0.65,0.35,1.0
19,1,0.6,1,0.63,0.37,1.0
