,Answer,Confidence,Class,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",sum_prediction
82,"AERP, BGCD, FUIN",0.3,0,0.2,0.15,0.2,0.15,0.15,0.15,1.0
83,"BNPR, ACDF, EIUG",0.3,1,0.1,0.1,0.3,0.15,0.2,0.15,1.0
84,"BNPR, ACDF, EIUG",0.8,1,0.2,0.2,0.2,0.2,0.2,0.0,1.0
85,"BNPR, ACDF, EIUG",0.9,1,0.15,0.05,0.15,0.05,0.55,0.05,1.0
86,"AERP, BGCD, FUIN",0.1,0,0.15,0.15,0.2,0.2,0.15,0.15,1.0
87,"BNPR, ACDF, EIUG",1.0,1,0.1,0.1,0.1,0.05,0.6,0.05,1.0
88,"BFRP, AUIE, GNDC",0.9,0,0.7,0.1,0.05,0.05,0.05,0.05,1.0
89,"BNPR, ACDF, EIUG",0.9,1,0.15,0.0,0.0,0.0,0.6,0.25,1.0
90,"BNPR, ACDF, EIUG",1.0,1,0.2,0.2,0.2,0.15,0.1,0.15,1.0
91,"BFRP, AUIE, GNDC",0.6,0,0.25,0.15,0.15,0.15,0.15,0.15,1.0
92,"BNPR, ACDF, EIUG",1.0,1,0.3,0.05,0.05,0.05,0.5,0.05,1.0
93,"BNPR, ACDF, EIUG",0.9,1,0.4,0.0,0.0,0.0,0.6,0.0,1.0
