,Answer,Confidence,Class,Less than 17 moves,17 moves,18 moves,19 moves,20 moves,More than 20 moves,sum_prediction
0,17 moves,0.9,0,0.02,0.1,0.28,0.3,0.28,0.02,1.0
1,18 moves,0.9,1,0.03,0.2,0.45,0.15,0.12,0.05,1.0
2,Less than 17 moves,0.1,0,0.3,0.25,0.15,0.15,0.1,0.05,1.0
3,More than 20 moves,0.2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,More than 20 moves,0.8,0,0.0,0.0,0.0,0.0,0.5,0.5,1.0
5,More than 20 moves,1.0,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
6,Less than 17 moves,0.8,0,0.3,0.15,0.15,0.15,0.15,0.1,1.0
7,Less than 17 moves,1.0,0,0.3,0.2,0.1,0.05,0.05,0.3,1.0
8,17 moves,1.0,0,0.0,0.1,0.8,0.1,0.0,0.0,1.0
9,18 moves,0.6,1,0.1,0.75,0.1,0.05,0.0,0.0,1.0
10,18 moves,0.5,1,0.0,0.0,0.9,0.05,0.05,0.0,1.0
11,More than 20 moves,1.0,0,0.05,0.1,0.5,0.25,0.1,0.0,1.0
12,Less than 17 moves,1.0,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
13,19 moves,1.0,0,0.2,0.15,0.15,0.15,0.2,0.15,1.0
14,More than 20 moves,0.5,0,0.0,0.05,0.05,0.05,0.25,0.6,1.0
15,18 moves,0.3,1,0.2,0.3,0.15,0.1,0.1,0.15,1.0
16,18 moves,0.9,1,0.0,0.1,0.5,0.3,0.05,0.05,1.0
17,More than 20 moves,0.5,0,0.0,0.0,0.1,0.1,0.3,0.5,1.0
18,More than 20 moves,0.9,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
19,20 moves,0.5,0,0.2,0.2,0.2,0.1,0.1,0.2,1.0
20,19 moves,1.0,0,0.1,0.2,0.2,0.4,0.05,0.05,1.0
21,More than 20 moves,0.9,0,0.1,0.15,0.15,0.2,0.1,0.3,1.0
22,18 moves,1.0,1,0.0,0.0,0.9,0.1,0.0,0.0,1.0
23,18 moves,0.8,1,0.05,0.15,0.4,0.28,0.1,0.02,1.0
24,20 moves,0.4,0,0.0,0.1,0.2,0.2,0.2,0.3,1.0
25,Less than 17 moves,0.7,0,0.4,0.0,0.2,0.1,0.1,0.2,1.0
26,18 moves,0.8,1,0.1,0.2,0.65,0.05,0.0,0.0,1.0
27,18 moves,0.6,1,0.0,0.33,0.34,0.33,0.0,0.0,1.0
28,More than 20 moves,0.9,0,0.05,0.05,0.05,0.1,0.15,0.6,1.0
29,18 moves,1.0,1,0.1,0.1,0.4,0.2,0.1,0.1,1.0
30,18 moves,1.0,1,0.05,0.2,0.25,0.3,0.2,0.0,1.0
31,More than 20 moves,1.0,0,0.15,0.15,0.15,0.15,0.15,0.25,1.0
32,20 moves,0.6,0,0.0,0.05,0.2,0.1,0.15,0.5,1.0
33,18 moves,1.0,1,0.17,0.17,0.18,0.19,0.2,0.09,0.9999999999999999
34,18 moves,0.7,1,0.05,0.1,0.55,0.15,0.1,0.05,1.0
35,More than 20 moves,1.0,0,0.01,0.05,0.07,0.22,0.25,0.4,1.0
36,17 moves,0.2,0,0.05,0.15,0.15,0.2,0.2,0.25,1.0
37,18 moves,0.6,1,0.1,0.3,0.4,0.1,0.1,0.0,1.0
38,19 moves,0.5,0,0.0,0.0,0.05,0.3,0.35,0.3,1.0
39,18 moves,0.2,1,0.1,0.1,0.5,0.1,0.1,0.1,0.9999999999999999
40,19 moves,0.9,0,0.05,0.1,0.15,0.6,0.05,0.05,1.0
41,18 moves,0.8,1,0.05,0.05,0.6,0.1,0.1,0.1,0.9999999999999999
42,18 moves,1.0,1,0.0,0.0,0.5,0.3,0.15,0.05,1.0
43,20 moves,0.9,0,0.15,0.2,0.2,0.15,0.1,0.2,1.0
44,More than 20 moves,0.2,0,0.0,0.0,0.2,0.3,0.4,0.1,1.0
45,17 moves,0.5,0,0.1,0.5,0.3,0.1,0.0,0.0,0.9999999999999999
46,18 moves,1.0,1,0.1,0.25,0.25,0.1,0.1,0.2,1.0
47,17 moves,0.6,0,0.2,0.3,0.2,0.1,0.1,0.1,0.9999999999999999
48,18 moves,0.8,1,0.1,0.3,0.3,0.1,0.1,0.1,0.9999999999999999
49,17 moves,0.2,0,0.25,0.25,0.25,0.2,0.05,0.0,1.0
50,17 moves,1.0,0,0.3,0.15,0.15,0.1,0.15,0.15,1.0
51,19 moves,0.7,0,0.05,0.0,0.2,0.3,0.4,0.05,1.0
52,More than 20 moves,0.8,0,0.05,0.1,0.15,0.15,0.25,0.3,1.0
53,18 moves,0.5,1,0.01,0.19,0.6,0.1,0.1,0.0,1.0
54,17 moves,0.4,0,0.1,0.3,0.25,0.15,0.12,0.08,1.0
55,18 moves,0.5,1,0.1,0.1,0.3,0.3,0.15,0.05,1.0
56,More than 20 moves,0.9,0,0.0,0.0,0.15,0.1,0.25,0.5,1.0
57,18 moves,0.6,1,0.24,0.26,0.3,0.1,0.05,0.05,1.0
58,17 moves,0.1,0,0.0,0.25,0.5,0.25,0.0,0.0,1.0
59,20 moves,0.5,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
60,19 moves,0.5,0,0.05,0.1,0.15,0.2,0.2,0.3,1.0
61,19 moves,1.0,0,0.15,0.15,0.26,0.18,0.14,0.12,1.0
62,More than 20 moves,0.8,0,0.0,0.0,0.15,0.2,0.3,0.35,0.9999999999999999
63,17 moves,0.5,0,0.05,0.1,0.4,0.15,0.1,0.2,1.0
64,20 moves,1.0,0,0.0,0.0,0.0,0.1,0.1,0.8,1.0
65,17 moves,0.8,0,0.05,0.15,0.35,0.25,0.15,0.05,1.0
66,19 moves,0.3,0,0.1,0.1,0.3,0.3,0.1,0.1,1.0
67,18 moves,0.1,1,0.05,0.15,0.3,0.15,0.25,0.1,1.0
68,20 moves,0.5,0,0.0,0.0,0.05,0.15,0.3,0.5,1.0
69,18 moves,0.8,1,0.1,0.1,0.2,0.2,0.2,0.2,1.0
70,20 moves,0.8,0,0.05,0.15,0.15,0.15,0.2,0.3,1.0
71,18 moves,0.8,1,0.05,0.05,0.25,0.25,0.2,0.2,1.0
72,20 moves,0.4,0,0.1,0.1,0.2,0.2,0.2,0.2,1.0
73,17 moves,0.5,0,0.25,0.17,0.13,0.25,0.1,0.1,1.0
74,More than 20 moves,0.5,0,0.0,0.15,0.15,0.2,0.25,0.25,1.0
75,18 moves,1.0,1,0.1,0.1,0.3,0.15,0.15,0.2,1.0
76,18 moves,0.9,1,0.15,0.15,0.25,0.15,0.15,0.15,1.0
77,Less than 17 moves,0.1,0,0.1,0.2,0.15,0.18,0.22,0.15,1.0
78,More than 20 moves,0.1,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
79,More than 20 moves,1.0,0,0.1,0.2,0.4,0.2,0.05,0.05,1.0000000000000002
80,19 moves,0.5,0,0.0,0.5,0.5,0.0,0.0,0.0,1.0
81,More than 20 moves,1.0,0,0.1,0.15,0.15,0.15,0.2,0.25,1.0
82,18 moves,0.1,1,0.01,0.05,0.1,0.2,0.25,0.39,1.0
83,20 moves,1.0,0,0.1,0.2,0.2,0.2,0.2,0.1,0.9999999999999999
84,18 moves,0.5,1,0.05,0.3,0.3,0.15,0.15,0.05,1.0
85,18 moves,0.6,1,0.0,0.2,0.2,0.2,0.2,0.2,1.0
86,17 moves,0.5,0,0.15,0.15,0.25,0.25,0.1,0.1,1.0
