,Answer,Confidence,Class,Less than 7 moves,7 moves,8 moves,9 moves,10 moves,More than 10 moves,sum_prediction
0,9 moves,0.8,0,0.0,0.0,0.2,0.7,0.1,0.0,0.9999999999999999
1,8 moves,0.9,1,0.05,0.1,0.65,0.1,0.05,0.05,1.0
2,9 moves,0.7,0,0.05,0.15,0.2,0.3,0.2,0.1,0.9999999999999999
3,More than 10 moves,0.8,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,More than 10 moves,0.7,0,0.1,0.2,0.3,0.3,0.05,0.05,1.0000000000000002
5,7 moves,0.9,0,0.25,0.3,0.15,0.1,0.1,0.1,1.0
6,Less than 7 moves,0.9,0,0.5,0.3,0.1,0.05,0.04,0.01,1.0
7,10 moves,0.8,0,0.1,0.1,0.1,0.1,0.5,0.1,1.0
8,More than 10 moves,1.0,0,0.05,0.05,0.25,0.2,0.05,0.4,1.0
9,8 moves,0.8,1,0.0,0.0,0.8,0.1,0.1,0.0,1.0
10,8 moves,0.7,1,0.0,0.1,0.8,0.05,0.05,0.0,1.0
11,8 moves,0.6,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,8 moves,0.9,1,0.1,0.7,0.1,0.1,0.0,0.0,0.9999999999999999
13,8 moves,0.8,1,0.0,0.4,0.5,0.1,0.0,0.0,1.0
14,More than 10 moves,1.0,0,0.15,0.25,0.15,0.1,0.2,0.15,1.0
15,9 moves,0.7,0,0.05,0.2,0.25,0.4,0.05,0.05,1.0
16,8 moves,0.5,1,0.1,0.1,0.3,0.1,0.1,0.3,1.0
17,7 moves,0.7,0,0.0,0.7,0.2,0.07,0.03,0.0,1.0
18,8 moves,1.0,1,0.0,0.0,0.5,0.2,0.2,0.1,0.9999999999999999
19,Less than 7 moves,0.8,0,0.4,0.15,0.15,0.1,0.1,0.1,1.0
20,8 moves,0.5,1,0.3,0.1,0.5,0.05,0.05,0.0,1.0
21,10 moves,0.9,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
22,8 moves,1.0,1,0.04,0.06,0.5,0.2,0.1,0.1,1.0
23,8 moves,0.7,1,0.2,0.2,0.2,0.2,0.0,0.2,1.0
24,8 moves,0.8,1,0.0,0.1,0.8,0.1,0.0,0.0,1.0
25,8 moves,0.8,1,0.1,0.2,0.4,0.2,0.06,0.04,1.0000000000000002
26,7 moves,0.8,0,0.2,0.7,0.1,0.0,0.0,0.0,0.9999999999999999
27,8 moves,0.1,1,0.3,0.1,0.2,0.1,0.1,0.2,1.0
28,8 moves,1.0,1,0.0,0.1,0.85,0.05,0.0,0.0,1.0
29,8 moves,0.6,1,0.0,0.05,0.2,0.2,0.2,0.35,1.0
30,More than 10 moves,0.9,0,0.05,0.05,0.05,0.05,0.05,0.75,1.0
31,Less than 7 moves,0.5,0,0.4,0.4,0.2,0.0,0.0,0.0,1.0
32,9 moves,0.8,0,0.0,0.0,0.2,0.3,0.5,0.0,1.0
