,Answer,Confidence,Class,1,2,3,4,8,10,16,60,sum_prediction
70,8,0.7,0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,1.0
71,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
72,8,0.8,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0
73,10,0.2,0,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,1.0
74,10,0.2,0,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,1.0
75,8,0.6,0,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,1.0
76,1,0.4,0,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,1.0
77,8,0.9,0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,1.0
78,8,0.7,0,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,1.0
79,1,0.6,0,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,1.0
80,8,0.8,0,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,1.0
81,16,1.0,0,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,1.0
82,1,0.6,0,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,1.0000000000000002
83,8,0.9,0,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,0.9999999999999999
84,1,0.8,0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.0
85,8,0.8,0,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,1.0
86,1,0.8,0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
87,8,0.5,0,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,1.0
88,2,1.0,0,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,1.0
89,4,0.4,0,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,1.0
90,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
91,8,0.5,0,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,1.0
92,8,0.3,0,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,1.0
93,8,0.1,0,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,1.0
94,3,0.5,1,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,1.0
95,3,1.0,1,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,1.0
96,4,0.1,0,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,1.0
97,8,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,8,0.3,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
99,4,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0
100,8,0.1,0,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,1.0
101,8,0.6,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0
102,3,1.0,1,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,1.0
103,4,1.0,0,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,1.0
104,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
105,4,0.4,0,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,1.0
106,8,0.8,0,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,1.0
107,8,0.4,0,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,1.0
108,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,1.0
