,Answer,Confidence,Class,55,41,50,34,33,other,sum_prediction
0,50,0.4,0,0.5,0.1,0.4,0.0,0.0,0.0,1.0
1,55,1.0,0,0.3,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
2,41,0.3,1,0.1,0.5,0.1,0.07,0.1,0.13,1.0
3,34,0.5,0,0.17,0.27,0.33,0.12,0.11,0.0,1.0
4,34,0.8,0,0.05,0.1,0.09,0.7,0.05,0.01,1.0
5,41,0.3,1,0.2,0.18,0.32,0.12,0.12,0.06,1.0
6,41,0.7,1,0.02,0.5,0.01,0.02,0.22,0.23,1.0
7,55,0.4,0,0.5,0.31,0.01,0.09,0.09,0.0,1.0
8,41,0.3,1,0.05,0.8,0.05,0.05,0.05,0.0,1.0000000000000002
9,55,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,41,0.6,1,0.2,0.05,0.25,0.15,0.1,0.25,1.0
11,41,0.8,1,0.25,0.0,0.0,0.0,0.0,0.75,1.0
12,50,1.0,0,0.25,0.2,0.2,0.25,0.1,0.0,1.0
13,50,0.4,0,0.15,0.3,0.15,0.17,0.17,0.06,1.0
14,34,0.5,0,0.1,0.5,0.1,0.1,0.1,0.1,0.9999999999999999
15,50,0.5,0,0.1,0.19,0.2,0.41,0.1,0.0,1.0
16,41,0.8,1,0.27,0.03,0.24,0.06,0.35,0.05,1.0
17,41,0.7,1,0.2,0.4,0.1,0.1,0.1,0.1,1.0
18,other,0.2,0,0.22,0.33,0.11,0.18,0.08,0.08,1.0
19,41,0.5,1,0.2,0.2,0.2,0.2,0.2,0.0,1.0
20,41,0.5,1,0.15,0.3,0.15,0.15,0.25,0.0,1.0
21,55,0.4,0,0.8,0.13,0.02,0.02,0.02,0.01,1.0
22,41,0.1,1,0.1,0.1,0.1,0.1,0.1,0.5,1.0
23,41,0.7,1,0.1,0.35,0.12,0.15,0.15,0.13,1.0
24,41,0.6,1,0.15,0.36,0.1,0.25,0.08,0.06,1.0
25,50,1.0,0,0.1,0.7,0.1,0.05,0.05,0.0,1.0
26,41,1.0,1,0.3,0.15,0.3,0.15,0.05,0.05,1.0
27,55,0.5,0,0.7,0.0,0.3,0.0,0.0,0.0,1.0
28,41,0.7,1,0.16,0.14,0.23,0.19,0.28,0.0,1.0
29,41,0.4,1,0.15,0.2,0.6,0.04,0.01,0.0,1.0
30,41,0.6,1,0.02,0.6,0.02,0.05,0.1,0.21,1.0
31,50,0.7,0,0.1,0.44,0.22,0.09,0.09,0.06,1.0
32,41,0.8,1,0.1,0.9,0.0,0.0,0.0,0.0,1.0
33,41,0.6,1,0.1,0.5,0.1,0.1,0.1,0.1,0.9999999999999999
34,41,0.9,1,0.11,0.44,0.02,0.15,0.2,0.08,1.0000000000000002
35,50,0.8,0,0.2,0.2,0.4,0.1,0.1,0.0,1.0
36,50,0.7,0,0.1,0.15,0.35,0.15,0.2,0.05,1.0
37,other,0.6,0,0.1,0.1,0.5,0.1,0.1,0.1,0.9999999999999999
38,41,0.2,1,0.18,0.2,0.18,0.14,0.17,0.13,1.0
39,55,0.5,0,0.8,0.1,0.0,0.0,0.0,0.1,1.0
40,34,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,41,0.3,1,0.6,0.3,0.05,0.05,0.0,0.0,1.0
42,41,0.6,1,0.1,0.1,0.2,0.2,0.2,0.2,1.0
43,55,0.7,0,0.6,0.3,0.1,0.0,0.0,0.0,0.9999999999999999
44,41,1.0,1,0.15,0.75,0.1,0.0,0.0,0.0,1.0
45,41,0.3,1,0.05,0.6,0.05,0.05,0.1,0.15,1.0
46,34,0.4,0,0.2,0.5,0.01,0.25,0.04,0.0,1.0
47,41,0.6,1,0.25,0.35,0.4,0.0,0.0,0.0,1.0
48,50,0.8,0,0.15,0.17,0.21,0.18,0.11,0.18,1.0
49,50,0.6,0,0.1,0.05,0.7,0.05,0.0,0.1,1.0
50,55,0.1,0,0.67,0.14,0.04,0.09,0.06,0.0,1.0
51,41,0.6,1,0.25,0.2,0.15,0.1,0.1,0.2,1.0
52,50,0.5,0,0.45,0.23,0.18,0.07,0.07,0.0,1.0000000000000002
53,41,0.7,1,0.8,0.05,0.1,0.0,0.05,0.0,1.0
54,50,0.3,0,0.4,0.2,0.2,0.05,0.05,0.1,1.0000000000000002
55,41,0.5,1,0.1,0.1,0.1,0.1,0.1,0.5,1.0
56,41,0.5,1,0.06,0.23,0.09,0.14,0.18,0.3,1.0
57,55,0.7,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
58,41,0.7,1,0.2,0.4,0.2,0.1,0.1,0.0,1.0
59,34,0.3,0,0.1,0.15,0.1,0.2,0.45,0.0,1.0
60,55,0.3,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
61,41,0.7,1,0.5,0.1,0.15,0.08,0.1,0.07,1.0
62,41,0.8,1,0.01,0.19,0.02,0.28,0.25,0.25,1.0
63,50,0.6,0,0.15,0.1,0.3,0.1,0.05,0.3,1.0
64,41,0.1,1,0.1,0.5,0.1,0.1,0.1,0.1,0.9999999999999999
65,50,0.1,0,0.3,0.04,0.08,0.15,0.25,0.18,1.0
66,50,0.6,0,0.3,0.05,0.25,0.2,0.0,0.2,1.0
67,41,0.8,1,0.3,0.2,0.25,0.12,0.12,0.01,1.0
68,41,0.9,1,0.25,0.25,0.2,0.1,0.1,0.1,0.9999999999999999
69,41,0.6,1,0.05,0.45,0.05,0.05,0.3,0.1,1.0000000000000002
70,50,0.7,0,0.15,0.2,0.1,0.1,0.25,0.2,1.0
71,41,0.3,1,0.3,0.2,0.2,0.1,0.15,0.05,1.0
72,50,0.1,0,0.18,0.18,0.19,0.15,0.15,0.15,1.0
73,55,0.6,0,0.34,0.39,0.27,0.0,0.0,0.0,1.0
74,50,0.5,0,0.3,0.35,0.09,0.06,0.13,0.07,0.9999999999999998
75,41,0.7,1,0.02,0.45,0.03,0.07,0.18,0.25,1.0
76,41,0.6,1,0.2,0.4,0.05,0.1,0.2,0.05,1.0000000000000002
77,50,1.0,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
78,50,0.5,0,0.1,0.15,0.5,0.05,0.05,0.15,1.0
79,50,0.1,0,0.6,0.2,0.1,0.05,0.05,0.0,1.0
80,other,0.6,0,0.2,0.1,0.25,0.25,0.1,0.1,1.0
81,41,0.3,1,0.05,0.3,0.25,0.1,0.1,0.2,1.0
82,55,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,1.0
83,41,0.7,1,0.3,0.7,0.0,0.0,0.0,0.0,1.0
84,50,0.7,0,0.3,0.3,0.2,0.1,0.1,0.0,1.0
85,34,1.0,0,0.2,0.5,0.1,0.1,0.1,0.0,0.9999999999999999
86,41,0.7,1,0.25,0.2,0.2,0.1,0.15,0.1,1.0
87,41,0.8,1,0.05,0.7,0.05,0.1,0.05,0.05,1.0
88,41,0.9,1,0.02,0.74,0.01,0.13,0.1,0.0,1.0
89,41,0.3,1,0.08,0.26,0.07,0.28,0.29,0.02,1.0
90,41,0.7,1,0.2,0.3,0.08,0.08,0.09,0.25,0.9999999999999999
91,41,0.5,1,0.1,0.15,0.14,0.15,0.17,0.29,1.0
92,41,0.4,1,0.1,0.1,0.1,0.1,0.1,0.5,1.0
93,41,0.9,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,41,0.6,1,0.06,0.39,0.09,0.08,0.3,0.08,0.9999999999999999
95,50,0.1,0,0.1,0.2,0.15,0.2,0.15,0.2,1.0000000000000002
96,41,0.5,1,0.1,0.9,0.0,0.0,0.0,0.0,1.0
97,41,0.1,1,0.31,0.58,0.11,0.0,0.0,0.0,0.9999999999999999
98,55,0.5,0,0.3,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
