,Answer,Confidence,Class,Picture A,Picture B,Picture C,Picture D,Picture E,Picture F,sum_prediction
106,Picture E,0.5,0,0.01,0.01,0.0,0.25,0.55,0.18,1.0
107,Picture C,0.9,0,0.1,0.1,0.5,0.1,0.1,0.1,0.9999999999999999
108,Picture D,0.1,1,0.2,0.2,0.2,0.2,0.1,0.1,1.0
109,Picture C,0.6,0,0.2,0.1,0.4,0.1,0.1,0.1,1.0
110,Picture A,0.7,0,0.2,0.2,0.2,0.2,0.2,0.0,1.0
111,Picture B,0.1,0,0.1,0.1,0.2,0.4,0.1,0.1,1.0
112,Picture F,0.1,0,0.15,0.15,0.2,0.15,0.15,0.2,1.0
113,Picture F,0.5,0,0.1,0.1,0.2,0.2,0.2,0.2,1.0
114,Picture D,1.0,1,0.1,0.05,0.15,0.5,0.1,0.1,1.0
115,Picture F,0.5,0,0.1,0.25,0.25,0.1,0.1,0.2,1.0
116,Picture F,0.3,0,0.1,0.15,0.3,0.1,0.15,0.2,1.0
117,Picture D,0.8,1,0.25,0.0,0.0,0.5,0.0,0.25,1.0
118,Picture C,0.6,0,0.1,0.1,0.2,0.2,0.2,0.2,1.0
119,Picture A,0.8,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
120,Picture C,0.1,0,0.1,0.1,0.3,0.2,0.15,0.15,1.0
