,Answer,Confidence,Class,Less than 13 moves,13 moves,14 moves,15 moves,16 moves,More than 16 moves,sum_prediction
103,13 moves,0.7,0,0.5,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
104,More than 16 moves,0.5,0,0.2,0.1,0.2,0.2,0.2,0.1,0.9999999999999999
105,16 moves,0.1,0,0.0,0.0,0.0,0.3,0.4,0.3,1.0
106,More than 16 moves,0.5,0,0.05,0.1,0.1,0.1,0.15,0.5,1.0
107,More than 16 moves,0.1,0,0.1,0.1,0.1,0.1,0.2,0.4,1.0
108,16 moves,0.8,0,0.0,0.0,0.0,0.05,0.4,0.55,1.0
109,Less than 13 moves,0.8,0,0.1,0.2,0.3,0.3,0.1,0.0,1.0000000000000002
110,13 moves,0.2,0,0.0,0.03,0.05,0.1,0.45,0.37,1.0
111,16 moves,0.1,0,0.0,0.1,0.1,0.3,0.3,0.2,1.0
112,16 moves,0.6,0,0.0,0.1,0.1,0.2,0.4,0.2,1.0
113,More than 16 moves,0.2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
114,14 moves,0.5,0,0.1,0.1,0.4,0.3,0.05,0.05,1.0000000000000002
